llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
90306103102.0,90306103,903061031,9,9,65,2,Mujer,3.0,2,No tiene discapacidad,5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5161,1,0,0,0,1,0,0,0,1,2.0,0.0,0,0
90306103103.0,90306103,903061031,9,9,37,1,Hombre,4.0,2,No tiene discapacidad,1,0.33333333333333,0.0,0.0,0.0,0.0,0.33333333333333,39.0,0.0,5199,1,0,0,0,0,1,1,0,1,0.33333333333333,39.0,1,1
90306104101.0,90306104,903061041,9,9,25,1,Hombre,4.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,7.0,0.0,70.0,0.0,5246,1,0,0,0,1,0,1,0,1,7.0,70.0,1,1
90306104102.0,90306104,903061041,9,9,25,2,Mujer,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,54.0,0.0,5159,1,0,0,0,1,0,1,0,1,5.0,54.0,1,1
91583105104.0,91583105,915831051,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,9.0,0.0,0.0,0.0,9.0,0.0,40.0,0.0,5311,1,0,0,0,1,0,1,0,1,9.0,40.0,1,1
91583105105.0,91583105,915831051,9,9,20,1,Hombre,4.0,2,No tiene discapacidad,4,0.83333333333333,0.0,0.0,0.0,0.83333333333333,0.0,0.0,0.0,5430,1,0,0,0,1,0,0,0,1,0.83333333333333,0.0,0,0
91597902101.0,91597902,915979021,9,9,43,2,Mujer,3.0,2,No tiene discapacidad,1,1.66666666666666,0.0,0.0,0.0,1.66666666666666,0.0,36.0,0.0,4587,1,0,0,0,1,0,1,0,1,1.66666666666666,36.0,1,1
90861104101.0,90861104,908611041,9,9,67,1,Hombre,3.0,1,Sí tiene discapacidad,6,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,4087,1,0,0,0,1,0,0,0,1,1.5,0.0,0,0
90861104102.0,90861104,908611041,9,9,58,2,Mujer,2.0,2,No tiene discapacidad,5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4020,1,0,0,0,1,0,0,0,1,0.5,0.0,0,0
90861104103.0,90861104,908611041,9,9,23,2,Mujer,3.0,2,No tiene discapacidad,1,1.66666666666666,0.0,0.0,0.0,1.66666666666666,0.0,27.0,0.0,4135,1,0,0,0,1,0,1,0,1,1.66666666666666,27.0,1,1
90861105101.0,90861105,908611051,9,9,46,2,Mujer,3.0,2,No tiene discapacidad,1,20.58333333333333,6.58333333333333,0.0,0.0,14.0,0.0,61.0,0.0,4052,1,1,0,0,1,0,1,0,1,20.58333333333333,61.0,1,1
90861105102.0,90861105,908611051,9,9,41,1,Hombre,4.0,2,No tiene discapacidad,1,7.0,1.0,0.0,0.0,6.0,0.0,40.0,0.0,4195,1,1,0,0,1,0,1,0,1,7.0,40.0,1,1
90861105103.0,90861105,908611051,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,0.16666666666666,0.16666666666666,0.0,0.0,0.0,0.0,8.0,0.0,4087,1,1,0,0,0,0,1,0,1,0.16666666666666,8.0,1,1
90861105104.0,90861105,908611051,9,9,15,2,Mujer,2.0,2,No tiene discapacidad,4,6.5,5.16666666666666,0.0,0.0,1.33333333333333,0.0,0.0,0.0,4131,1,1,0,0,1,0,0,0,1,6.5,0.0,0,0
91566301104.0,91566301,915663011,9,9,56,2,Mujer,3.0,2,No tiene discapacidad,1,2.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,3513,1,0,0,0,1,0,1,0,1,2.0,29.0,1,1
91566303101.0,91566303,915663031,9,9,50,1,Hombre,4.0,2,No tiene discapacidad,1,8.58333333333333,0.0,0.0,8.58333333333333,0.0,0.0,40.0,0.0,3605,1,0,0,1,0,0,1,0,1,8.58333333333333,40.0,1,1
91566304101.0,91566304,915663041,9,9,69,1,Hombre,4.0,2,No tiene discapacidad,3,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3572,1,0,0,0,1,0,0,0,1,3.0,0.0,0,0
91566304102.0,91566304,915663041,9,9,38,2,Mujer,5.0,2,No tiene discapacidad,4,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3548,1,0,0,0,1,0,0,0,1,3.5,0.0,0,0
91566304103.0,91566304,915663041,9,9,34,2,Mujer,5.0,2,No tiene discapacidad,1,1.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,3553,1,0,0,0,1,0,1,0,1,1.0,45.0,1,1
90327901101.0,90327901,903279011,9,9,75,2,Mujer,2.0,2,No tiene discapacidad,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4026,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0
90327901102.0,90327901,903279011,9,9,40,2,Mujer,4.0,2,No tiene discapacidad,5,5.5,0.0,0.0,3.5,2.0,0.0,0.0,0.0,3966,1,0,0,1,1,0,0,0,1,5.5,0.0,0,0
90327901105.0,90327901,903279011,9,9,18,1,Hombre,3.0,2,No tiene discapacidad,1,0.5,0.0,0.0,0.0,0.0,0.5,36.0,0.0,4050,1,0,0,0,0,1,1,0,1,0.5,36.0,1,1
90688401101.0,90688401,906884011,9,9,24,1,Hombre,2.0,2,No tiene discapacidad,1,4.0,0.0,0.0,0.0,4.0,0.0,72.0,0.0,4252,1,0,0,0,1,0,1,0,1,4.0,72.0,1,1
90688402101.0,90688402,906884021,9,9,44,1,Hombre,2.0,2,No tiene discapacidad,1,10.5,0.0,0.0,0.0,10.5,0.0,88.0,0.0,4269,1,0,0,0,1,0,1,0,1,10.5,88.0,1,1
90688402102.0,90688402,906884021,9,9,44,2,Mujer,2.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,50.0,0.0,4131,1,0,0,0,1,0,1,0,1,5.0,50.0,1,1
90688402103.0,90688402,906884021,9,9,22,1,Hombre,3.0,1,Sí tiene discapacidad,1,0.08333333333333,0.0,0.0,0.0,0.08333333333333,0.0,40.0,0.0,4252,1,0,0,0,1,0,1,0,1,0.08333333333333,40.0,1,1
90861105106.0,90861105,908611051,9,9,56,1,Hombre,3.0,2,No tiene discapacidad,1,7.16666666666666,4.66666666666666,0.0,0.0,2.5,0.0,40.0,0.0,4135,1,1,0,0,1,0,1,0,1,7.16666666666666,40.0,1,1
90875602101.0,90875602,908756021,9,9,42,1,Hombre,3.0,1,Sí tiene discapacidad,1,11.0,0.0,0.0,7.0,4.0,0.0,112.0,0.0,4078,1,0,0,1,1,0,1,0,1,11.0,112.0,1,1
91597902105.0,91597902,915979021,9,9,18,2,Mujer,4.0,2,No tiene discapacidad,5,4.33333333333333,0.0,0.0,0.0,4.33333333333333,0.0,0.0,0.0,4667,1,0,0,0,1,0,0,0,1,4.33333333333333,0.0,0,0
91597903101.0,91597903,915979031,9,9,35,1,Hombre,2.0,2,No tiene discapacidad,1,47.0,0.0,0.0,37.0,10.0,0.0,54.0,0.0,4654,1,0,0,1,1,0,1,0,1,47.0,54.0,1,1
91597903102.0,91597903,915979031,9,9,25,2,Mujer,2.0,2,No tiene discapacidad,1,22.5,0.0,0.0,15.0,7.5,0.0,36.0,0.0,4618,1,0,0,1,1,0,1,0,1,22.5,36.0,1,1
91566305101.0,91566305,915663051,9,9,59,2,Mujer,4.0,2,No tiene discapacidad,1,2.5,0.0,0.0,0.0,2.5,0.0,6.0,0.0,3513,1,0,0,0,1,0,1,0,1,2.5,6.0,1,1
91566305102.0,91566305,915663051,9,9,33,1,Hombre,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,44.0,0.0,3656,1,0,0,0,1,0,1,0,1,5.0,44.0,1,1
91566305103.0,91566305,915663051,9,9,28,1,Hombre,4.0,2,No tiene discapacidad,1,1.5,0.0,0.0,0.0,1.5,0.0,35.0,0.0,3632,1,0,0,0,1,0,1,0,1,1.5,35.0,1,1
91566305104.0,91566305,915663051,9,9,25,1,Hombre,3.0,2,No tiene discapacidad,1,1.83333333333333,0.0,0.0,0.0,1.83333333333333,0.0,36.0,0.0,3632,1,0,0,0,1,0,1,0,1,1.83333333333333,36.0,1,1
