llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo
90002901101.0,90002901,900029011,9,9,67,1,Hombre,4.0,2,No tiene discapacidad,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165,0,0,0,0,0,0,0,0
90002901102.0,90002901,900029011,9,9,65,2,Mujer,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3166,0,0,0,0,0,0,1,0
90002902101.0,90002902,900029021,9,9,43,2,Mujer,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3143,0,0,0,0,0,0,1,0
90306103101.0,90306103,903061031,9,9,66,1,Hombre,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5160,0,0,0,0,0,0,1,0
90306103102.0,90306103,903061031,9,9,65,2,Mujer,3.0,2,No tiene discapacidad,5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5161,1,0,0,0,1,0,0,0
90306103103.0,90306103,903061031,9,9,37,1,Hombre,4.0,2,No tiene discapacidad,1,0.33333333333333,0.0,0.0,0.0,0.0,0.33333333333333,39.0,0.0,5199,1,0,0,0,0,1,1,0
90306104101.0,90306104,903061041,9,9,25,1,Hombre,4.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,7.0,0.0,70.0,0.0,5246,1,0,0,0,1,0,1,0
90306104102.0,90306104,903061041,9,9,25,2,Mujer,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,54.0,0.0,5159,1,0,0,0,1,0,1,0
90306104103.0,90306104,903061041,9,9,23,2,Mujer,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,5220,0,0,0,0,0,0,1,0
91583105102.0,91583105,915831051,9,9,52,2,Mujer,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5308,0,0,0,0,0,0,1,0
91583105103.0,91583105,915831051,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5311,0,0,0,0,0,0,1,0
91583105104.0,91583105,915831051,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,9.0,0.0,0.0,0.0,9.0,0.0,40.0,0.0,5311,1,0,0,0,1,0,1,0
